request_id,date_requested,department,section_id,division,requested_window_start,requested_duration_min,approval_status,approved_duration_min,coordinated_with_other_dept,same_night_other_dept_requests
BDMS0057,2026-09-06,Engineering,SEC010,Moradabad,00:00,100,Yes,100,No,1
BDMS0058,2026-09-06,S&T,SEC010,Moradabad,23:00,61,Yes,61,No,1
BDMS0059,2026-09-06,S&T,SEC012,Lucknow,23:00,63,Partially,26,No,1
BDMS0060,2026-09-06,Engineering,SEC012,Lucknow,00:00,136,Partially,92,No,1
BDMS0061,2026-09-07,Engineering,SEC001,Ambala,23:00,149,Yes,149,No,2
BDMS0062,2026-09-07,S&T,SEC001,Ambala,23:00,141,Yes,141,No,2
BDMS0063,2026-09-07,TRD,SEC001,Ambala,02:00,148,No,0,No,2
BDMS0064,2026-09-07,Engineering,SEC002,Ambala,01:00,159,Yes,159,N/A,0
BDMS0065,2026-09-07,Engineering,SEC004,Ferozepur,23:00,122,No,0,No,1
BDMS0066,2026-09-07,S&T,SEC004,Ferozepur,02:00,82,Partially,36,No,1
BDMS0067,2026-09-07,Engineering,SEC006,Delhi,01:00,73,Yes,73,No,1
BDMS0068,2026-09-07,S&T,SEC006,Delhi,01:00,159,Yes,159,No,1
BDMS0069,2026-09-07,Engineering,SEC007,Lucknow,01:00,79,Partially,60,No,1
BDMS0070,2026-09-07,S&T,SEC007,Lucknow,23:00,125,Partially,88,No,1
BDMS0071,2026-09-07,TRD,SEC008,Lucknow,23:00,129,Yes,129,N/A,0
BDMS0072,2026-09-07,S&T,SEC011,Ferozepur,01:00,147,Yes,147,N/A,0
BDMS0073,2026-09-08,S&T,SEC002,Ambala,01:00,142,Yes,142,No,2
BDMS0074,2026-09-08,Engineering,SEC002,Ambala,02:00,144,Yes,144,No,2
BDMS0075,2026-09-08,TRD,SEC002,Ambala,23:00,140,Partially,83,No,2
BDMS0076,2026-09-08,Engineering,SEC004,Ferozepur,00:00,63,Partially,40,N/A,0
BDMS0077,2026-09-08,TRD,SEC005,Delhi,01:00,123,Yes,123,N/A,0
BDMS0078,2026-09-08,Engineering,SEC006,Delhi,01:00,160,Partially,89,No,2
BDMS0079,2026-09-08,S&T,SEC006,Delhi,00:00,163,Partially,99,No,2
BDMS0080,2026-09-08,TRD,SEC006,Delhi,00:00,154,Partially,118,No,2
BDMS0081,2026-09-08,TRD,SEC007,Lucknow,23:00,120,No,0,N/A,0
BDMS0082,2026-09-08,Engineering,SEC008,Lucknow,23:00,175,Yes,175,No,1
BDMS0083,2026-09-08,TRD,SEC008,Lucknow,02:00,138,Yes,138,No,1
BDMS0084,2026-09-08,TRD,SEC010,Moradabad,00:00,68,Partially,38,N/A,0
BDMS0085,2026-09-09,TRD,SEC002,Ambala,00:00,157,Yes,157,No,2
BDMS0086,2026-09-09,Engineering,SEC002,Ambala,23:00,75,Yes,75,No,2
BDMS0087,2026-09-09,S&T,SEC002,Ambala,00:00,149,Yes,149,No,2
BDMS0088,2026-09-09,Engineering,SEC003,Ferozepur,02:00,159,Yes,159,No,1
BDMS0089,2026-09-09,TRD,SEC003,Ferozepur,23:00,60,Yes,60,No,1
BDMS0090,2026-09-09,S&T,SEC006,Delhi,00:00,78,Partially,47,No,1
BDMS0091,2026-09-09,Engineering,SEC006,Delhi,02:00,90,No,0,No,1
BDMS0092,2026-09-09,S&T,SEC007,Lucknow,23:00,140,Partially,72,N/A,0
BDMS0093,2026-09-09,Engineering,SEC008,Lucknow,23:00,139,Yes,139,No,1
BDMS0094,2026-09-09,TRD,SEC008,Lucknow,00:00,119,Partially,78,No,1
BDMS0095,2026-09-09,Engineering,SEC009,Moradabad,02:00,123,Yes,123,N/A,0
BDMS0096,2026-09-09,S&T,SEC010,Moradabad,02:00,92,Yes,92,No,1
BDMS0097,2026-09-09,Engineering,SEC010,Moradabad,02:00,65,Yes,65,No,1
BDMS0098,2026-09-09,TRD,SEC012,Lucknow,23:00,69,No,0,N/A,0
BDMS0099,2026-09-10,TRD,SEC002,Ambala,01:00,89,Partially,47,N/A,0
BDMS0100,2026-09-10,Engineering,SEC003,Ferozepur,00:00,69,Yes,69,No,1
BDMS0101,2026-09-10,S&T,SEC003,Ferozepur,02:00,78,Yes,78,No,1
BDMS0102,2026-09-10,S&T,SEC004,Ferozepur,00:00,140,Yes,140,N/A,0
BDMS0103,2026-09-10,TRD,SEC005,Delhi,23:00,95,Yes,95,N/A,0
BDMS0104,2026-09-10,S&T,SEC006,Delhi,00:00,173,Yes,173,N/A,0
BDMS0105,2026-09-10,TRD,SEC012,Lucknow,02:00,170,No,0,N/A,0
BDMS0106,2026-09-11,TRD,SEC002,Ambala,00:00,101,Yes,101,No,1
BDMS0107,2026-09-11,Engineering,SEC002,Ambala,00:00,176,Partially,70,No,1
BDMS0108,2026-09-11,TRD,SEC004,Ferozepur,23:00,114,Yes,114,N/A,0
BDMS0109,2026-09-11,TRD,SEC007,Lucknow,23:00,148,Partially,115,N/A,0
BDMS0110,2026-09-11,TRD,SEC008,Lucknow,23:00,62,Yes,62,N/A,0
BDMS0111,2026-09-11,Engineering,SEC012,Lucknow,02:00,83,Partially,45,N/A,0
BDMS0112,2026-09-12,TRD,SEC001,Ambala,02:00,174,Partially,106,No,1
BDMS0113,2026-09-12,Engineering,SEC001,Ambala,01:00,114,Partially,77,No,1
BDMS0114,2026-09-12,TRD,SEC004,Ferozepur,23:00,125,No,0,No,1
BDMS0115,2026-09-12,S&T,SEC004,Ferozepur,23:00,74,Yes,74,No,1
BDMS0116,2026-09-12,TRD,SEC005,Delhi,23:00,131,Partially,63,N/A,0
BDMS0117,2026-09-12,S&T,SEC007,Lucknow,00:00,156,Partially,76,N/A,0
BDMS0118,2026-09-12,TRD,SEC008,Lucknow,02:00,95,Yes,95,N/A,0
BDMS0119,2026-09-12,Engineering,SEC009,Moradabad,02:00,150,Yes,150,N/A,0
BDMS0120,2026-09-12,TRD,SEC011,Ferozepur,23:00,84,No,0,N/A,0
BDMS0121,2026-09-12,S&T,SEC012,Lucknow,00:00,95,Yes,95,No,2
BDMS0122,2026-09-12,Engineering,SEC012,Lucknow,00:00,171,Yes,171,No,2
BDMS0123,2026-09-12,TRD,SEC012,Lucknow,23:00,97,Yes,97,No,2
BDMS0124,2026-09-13,TRD,SEC002,Ambala,23:00,97,Yes,97,N/A,0
BDMS0125,2026-09-13,TRD,SEC006,Delhi,02:00,135,Partially,82,No,1
BDMS0126,2026-09-13,S&T,SEC006,Delhi,02:00,118,Yes,118,No,1
BDMS0127,2026-09-13,S&T,SEC008,Lucknow,01:00,96,Partially,40,N/A,0
BDMS0128,2026-09-13,Engineering,SEC009,Moradabad,00:00,151,Yes,151,N/A,0
BDMS0129,2026-09-13,TRD,SEC010,Moradabad,00:00,90,Yes,90,No,1
BDMS0130,2026-09-13,Engineering,SEC010,Moradabad,00:00,116,Yes,116,No,1
BDMS0131,2026-09-13,S&T,SEC012,Lucknow,00:00,107,Yes,107,N/A,0
BDMS0132,2026-09-14,S&T,SEC002,Ambala,00:00,118,No,0,N/A,0
BDMS0133,2026-09-14,TRD,SEC007,Lucknow,01:00,148,Yes,148,No,2
BDMS0134,2026-09-14,Engineering,SEC007,Lucknow,23:00,77,Partially,34,No,2
BDMS0135,2026-09-14,S&T,SEC007,Lucknow,23:00,111,Partially,54,No,2
BDMS0136,2026-09-14,TRD,SEC008,Lucknow,00:00,134,Yes,134,N/A,0
BDMS0137,2026-09-14,S&T,SEC010,Moradabad,23:00,125,Yes,125,N/A,0
BDMS0138,2026-09-15,S&T,SEC001,Ambala,02:00,107,Yes,107,No,1
BDMS0139,2026-09-15,Engineering,SEC001,Ambala,01:00,104,Yes,104,No,1
BDMS0140,2026-09-15,TRD,SEC003,Ferozepur,01:00,80,Partially,63,No,2
BDMS0141,2026-09-15,S&T,SEC003,Ferozepur,02:00,153,No,0,No,2
BDMS0142,2026-09-15,Engineering,SEC003,Ferozepur,23:00,78,Yes,78,No,2
BDMS0143,2026-09-15,S&T,SEC006,Delhi,02:00,141,No,0,No,2
BDMS0144,2026-09-15,Engineering,SEC006,Delhi,02:00,150,Partially,114,No,2
BDMS0145,2026-09-15,TRD,SEC006,Delhi,00:00,83,Partially,42,No,2
BDMS0146,2026-09-15,S&T,SEC007,Lucknow,02:00,131,Partially,64,No,1
BDMS0147,2026-09-15,TRD,SEC007,Lucknow,23:00,79,Yes,79,No,1
BDMS0148,2026-09-15,S&T,SEC009,Moradabad,00:00,122,No,0,No,1
BDMS0149,2026-09-15,TRD,SEC009,Moradabad,23:00,75,Partially,44,No,1
BDMS0150,2026-09-15,S&T,SEC012,Lucknow,01:00,140,Partially,110,N/A,0
BDMS0151,2026-09-16,Engineering,SEC002,Ambala,00:00,134,Yes,134,No,1
BDMS0152,2026-09-16,S&T,SEC002,Ambala,00:00,105,Yes,105,No,1
BDMS0153,2026-09-16,S&T,SEC003,Ferozepur,01:00,127,Partially,54,No,2
BDMS0154,2026-09-16,Engineering,SEC003,Ferozepur,00:00,158,Partially,111,No,2
BDMS0155,2026-09-16,TRD,SEC003,Ferozepur,00:00,129,Yes,129,No,2
BDMS0156,2026-09-16,S&T,SEC006,Delhi,01:00,165,Yes,165,No,1
BDMS0157,2026-09-16,Engineering,SEC006,Delhi,01:00,107,Partially,60,No,1
BDMS0158,2026-09-16,TRD,SEC008,Lucknow,00:00,166,Yes,166,N/A,0
BDMS0159,2026-09-17,Engineering,SEC003,Ferozepur,23:00,164,Yes,164,N/A,0
BDMS0160,2026-09-17,Engineering,SEC004,Ferozepur,01:00,82,Partially,33,No,1
BDMS0161,2026-09-17,S&T,SEC004,Ferozepur,23:00,88,Yes,88,No,1
BDMS0162,2026-09-17,Engineering,SEC006,Delhi,02:00,148,Partially,65,N/A,0
BDMS0163,2026-09-17,S&T,SEC007,Lucknow,23:00,85,Yes,85,N/A,0
BDMS0164,2026-09-17,S&T,SEC009,Moradabad,23:00,68,Yes,68,N/A,0
BDMS0165,2026-09-17,TRD,SEC010,Moradabad,00:00,135,No,0,N/A,0
BDMS0166,2026-09-17,TRD,SEC011,Ferozepur,01:00,134,Yes,134,N/A,0
BDMS0167,2026-09-18,Engineering,SEC002,Ambala,00:00,151,Yes,151,No,1
BDMS0168,2026-09-18,TRD,SEC002,Ambala,23:00,152,Yes,152,No,1
BDMS0169,2026-09-18,S&T,SEC005,Delhi,00:00,166,Yes,166,No,1
BDMS0170,2026-09-18,Engineering,SEC005,Delhi,00:00,125,Yes,125,No,1
BDMS0171,2026-09-18,Engineering,SEC007,Lucknow,02:00,157,Yes,157,N/A,0
BDMS0172,2026-09-18,S&T,SEC009,Moradabad,01:00,118,Partially,61,N/A,0
BDMS0173,2026-09-18,S&T,SEC011,Ferozepur,00:00,169,Yes,169,No,1
BDMS0174,2026-09-18,TRD,SEC011,Ferozepur,02:00,180,Partially,84,No,1
BDMS0175,2026-09-19,S&T,SEC001,Ambala,23:00,75,Yes,75,N/A,0
BDMS0176,2026-09-19,Engineering,SEC003,Ferozepur,00:00,103,Yes,103,No,2
BDMS0177,2026-09-19,TRD,SEC003,Ferozepur,02:00,75,Yes,75,No,2
BDMS0178,2026-09-19,S&T,SEC003,Ferozepur,02:00,95,Partially,67,No,2
BDMS0179,2026-09-19,S&T,SEC008,Lucknow,01:00,78,Partially,34,No,1
BDMS0180,2026-09-19,TRD,SEC008,Lucknow,01:00,122,Yes,122,No,1
BDMS0181,2026-09-19,Engineering,SEC009,Moradabad,23:00,123,Partially,97,N/A,0
BDMS0182,2026-09-19,Engineering,SEC010,Moradabad,23:00,157,Yes,157,No,1
BDMS0183,2026-09-19,S&T,SEC010,Moradabad,02:00,161,Yes,161,No,1
BDMS0184,2026-09-19,TRD,SEC011,Ferozepur,01:00,163,No,0,N/A,0
BDMS0185,2026-09-20,Engineering,SEC001,Ambala,02:00,117,Yes,117,N/A,0
BDMS0186,2026-09-20,TRD,SEC002,Ambala,01:00,173,Partially,103,N/A,0
BDMS0187,2026-09-20,S&T,SEC003,Ferozepur,02:00,144,Partially,88,No,1
BDMS0188,2026-09-20,Engineering,SEC003,Ferozepur,02:00,120,Partially,55,No,1
BDMS0189,2026-09-20,TRD,SEC004,Ferozepur,02:00,138,Partially,97,N/A,0
BDMS0190,2026-09-20,TRD,SEC005,Delhi,23:00,76,Partially,41,N/A,0
BDMS0191,2026-09-20,S&T,SEC007,Lucknow,02:00,104,No,0,No,2
BDMS0192,2026-09-20,TRD,SEC007,Lucknow,23:00,144,Yes,144,No,2
BDMS0193,2026-09-20,Engineering,SEC007,Lucknow,01:00,135,Yes,135,No,2
BDMS0194,2026-09-20,TRD,SEC009,Moradabad,01:00,64,Yes,64,N/A,0
BDMS0195,2026-09-20,TRD,SEC012,Lucknow,01:00,108,Partially,57,No,1
BDMS0196,2026-09-20,Engineering,SEC012,Lucknow,23:00,163,Yes,163,No,1
BDMS0197,2026-09-21,TRD,SEC001,Ambala,01:00,81,Partially,44,N/A,0
BDMS0198,2026-09-21,Engineering,SEC002,Ambala,00:00,96,Yes,96,N/A,0
BDMS0199,2026-09-21,TRD,SEC010,Moradabad,02:00,86,Yes,86,No,1
BDMS0200,2026-09-21,S&T,SEC010,Moradabad,01:00,124,Partially,71,No,1
BDMS0201,2026-09-21,TRD,SEC012,Lucknow,02:00,145,Partially,68,N/A,0
BDMS0202,2026-09-22,Engineering,SEC001,Ambala,00:00,144,No,0,No,1
BDMS0203,2026-09-22,S&T,SEC001,Ambala,02:00,94,No,0,No,1
BDMS0204,2026-09-22,TRD,SEC004,Ferozepur,00:00,106,Yes,106,No,1
BDMS0205,2026-09-22,Engineering,SEC004,Ferozepur,01:00,168,Yes,168,No,1
BDMS0206,2026-09-22,S&T,SEC006,Delhi,01:00,165,Yes,165,N/A,0
BDMS0207,2026-09-22,Engineering,SEC008,Lucknow,00:00,63,Yes,63,N/A,0
BDMS0208,2026-09-22,S&T,SEC009,Moradabad,23:00,85,Yes,85,No,1
BDMS0209,2026-09-22,TRD,SEC009,Moradabad,01:00,161,Partially,106,No,1
BDMS0210,2026-09-22,TRD,SEC010,Moradabad,23:00,170,No,0,No,2
BDMS0211,2026-09-22,S&T,SEC010,Moradabad,01:00,170,Yes,170,No,2
BDMS0212,2026-09-22,Engineering,SEC010,Moradabad,01:00,145,Partially,63,No,2
BDMS0213,2026-09-23,TRD,SEC001,Ambala,23:00,126,Partially,79,N/A,0
BDMS0214,2026-09-23,TRD,SEC004,Ferozepur,23:00,158,Partially,84,N/A,0
BDMS0215,2026-09-23,Engineering,SEC006,Delhi,00:00,78,Yes,78,No,1
BDMS0216,2026-09-23,S&T,SEC006,Delhi,01:00,116,Yes,116,No,1
BDMS0217,2026-09-23,TRD,SEC007,Lucknow,23:00,100,Yes,100,N/A,0
BDMS0218,2026-09-23,Engineering,SEC008,Lucknow,01:00,120,Partially,87,N/A,0
BDMS0219,2026-09-23,TRD,SEC009,Moradabad,00:00,92,Partially,48,No,2
BDMS0220,2026-09-23,Engineering,SEC009,Moradabad,01:00,175,Partially,78,No,2
BDMS0221,2026-09-23,S&T,SEC009,Moradabad,00:00,169,Yes,169,No,2
BDMS0222,2026-09-24,Engineering,SEC001,Ambala,00:00,177,Yes,177,No,2
BDMS0223,2026-09-24,S&T,SEC001,Ambala,02:00,161,Yes,161,No,2
BDMS0224,2026-09-24,TRD,SEC001,Ambala,02:00,120,Partially,92,No,2
BDMS0225,2026-09-24,Engineering,SEC002,Ambala,00:00,149,Yes,149,N/A,0
BDMS0226,2026-09-24,TRD,SEC003,Ferozepur,02:00,148,Yes,148,No,1
BDMS0227,2026-09-24,S&T,SEC003,Ferozepur,00:00,140,Yes,140,No,1
BDMS0228,2026-09-24,S&T,SEC004,Ferozepur,01:00,133,Yes,133,N/A,0
BDMS0229,2026-09-24,TRD,SEC012,Lucknow,00:00,93,Yes,93,N/A,0
BDMS0230,2026-09-25,Engineering,SEC001,Ambala,02:00,107,Yes,107,N/A,0
BDMS0231,2026-09-25,TRD,SEC004,Ferozepur,02:00,85,Yes,85,No,2
BDMS0232,2026-09-25,Engineering,SEC004,Ferozepur,23:00,111,Partially,71,No,2
BDMS0233,2026-09-25,S&T,SEC004,Ferozepur,00:00,71,No,0,No,2
BDMS0234,2026-09-25,S&T,SEC006,Delhi,02:00,75,Yes,75,N/A,0
BDMS0235,2026-09-25,S&T,SEC009,Moradabad,02:00,169,Yes,169,No,1
BDMS0236,2026-09-25,Engineering,SEC009,Moradabad,01:00,153,Partially,86,No,1
BDMS0237,2026-09-25,S&T,SEC010,Moradabad,01:00,90,Partially,68,N/A,0
BDMS0238,2026-09-25,S&T,SEC011,Ferozepur,23:00,120,Yes,120,No,1
BDMS0239,2026-09-25,Engineering,SEC011,Ferozepur,02:00,147,Yes,147,No,1
BDMS0240,2026-09-25,Engineering,SEC012,Lucknow,23:00,66,Yes,66,No,1
BDMS0241,2026-09-25,TRD,SEC012,Lucknow,01:00,137,No,0,No,1
BDMS0242,2026-09-26,TRD,SEC003,Ferozepur,02:00,98,No,0,N/A,0
BDMS0243,2026-09-26,Engineering,SEC004,Ferozepur,00:00,124,Yes,124,No,2
BDMS0244,2026-09-26,TRD,SEC004,Ferozepur,02:00,76,Yes,76,No,2
BDMS0245,2026-09-26,S&T,SEC004,Ferozepur,02:00,78,Yes,78,No,2
BDMS0246,2026-09-26,S&T,SEC006,Delhi,01:00,175,No,0,No,2
BDMS0247,2026-09-26,TRD,SEC006,Delhi,01:00,126,Yes,126,No,2
BDMS0248,2026-09-26,Engineering,SEC006,Delhi,01:00,154,No,0,No,2
BDMS0249,2026-09-26,TRD,SEC007,Lucknow,00:00,79,Yes,79,No,2
BDMS0250,2026-09-26,S&T,SEC007,Lucknow,02:00,93,Yes,93,No,2
BDMS0251,2026-09-26,Engineering,SEC007,Lucknow,23:00,174,No,0,No,2
BDMS0252,2026-09-26,S&T,SEC008,Lucknow,02:00,74,Partially,55,No,1
BDMS0253,2026-09-26,TRD,SEC008,Lucknow,23:00,104,Yes,104,No,1
BDMS0254,2026-09-26,TRD,SEC009,Moradabad,01:00,132,No,0,N/A,0
BDMS0255,2026-09-27,S&T,SEC002,Ambala,23:00,173,Yes,173,N/A,0
BDMS0256,2026-09-27,Engineering,SEC004,Ferozepur,01:00,79,Yes,79,N/A,0
BDMS0257,2026-09-27,S&T,SEC006,Delhi,01:00,65,Partially,50,No,1
BDMS0258,2026-09-27,Engineering,SEC006,Delhi,01:00,153,No,0,No,1
BDMS0259,2026-09-27,TRD,SEC008,Lucknow,23:00,155,Yes,155,No,2
BDMS0260,2026-09-27,S&T,SEC008,Lucknow,02:00,71,Yes,71,No,2
BDMS0261,2026-09-27,Engineering,SEC008,Lucknow,02:00,71,Yes,71,No,2
BDMS0262,2026-09-27,TRD,SEC009,Moradabad,00:00,75,Yes,75,N/A,0
BDMS0263,2026-09-28,S&T,SEC002,Ambala,00:00,122,Yes,122,N/A,0
BDMS0264,2026-09-28,Engineering,SEC003,Ferozepur,01:00,138,Yes,138,No,1
BDMS0265,2026-09-28,S&T,SEC003,Ferozepur,23:00,65,Yes,65,No,1
BDMS0266,2026-09-28,Engineering,SEC010,Moradabad,02:00,98,Yes,98,N/A,0
BDMS0267,2026-09-29,Engineering,SEC002,Ambala,23:00,125,Yes,125,N/A,0
BDMS0268,2026-09-29,TRD,SEC003,Ferozepur,01:00,92,Partially,65,No,1
BDMS0269,2026-09-29,S&T,SEC003,Ferozepur,23:00,74,Partially,43,No,1
BDMS0270,2026-09-29,TRD,SEC006,Delhi,01:00,100,Partially,58,N/A,0
BDMS0271,2026-09-29,Engineering,SEC009,Moradabad,23:00,155,No,0,No,2
BDMS0272,2026-09-29,TRD,SEC009,Moradabad,23:00,115,Yes,115,No,2
BDMS0273,2026-09-29,S&T,SEC009,Moradabad,23:00,61,Yes,61,No,2
BDMS0274,2026-09-30,TRD,SEC002,Ambala,02:00,162,Yes,162,No,1
BDMS0275,2026-09-30,S&T,SEC002,Ambala,23:00,84,Yes,84,No,1
BDMS0276,2026-09-30,TRD,SEC005,Delhi,02:00,167,Partially,119,No,1
BDMS0277,2026-09-30,Engineering,SEC005,Delhi,00:00,71,Yes,71,No,1
BDMS0278,2026-09-30,Engineering,SEC006,Delhi,00:00,154,Partially,120,N/A,0
BDMS0279,2026-09-30,TRD,SEC007,Lucknow,01:00,132,Partially,73,No,2
BDMS0280,2026-09-30,Engineering,SEC007,Lucknow,01:00,61,Yes,61,No,2
BDMS0281,2026-09-30,S&T,SEC007,Lucknow,02:00,113,Partially,78,No,2
BDMS0282,2026-09-30,S&T,SEC010,Moradabad,02:00,89,Partially,54,N/A,0
BDMS0283,2026-09-30,Engineering,SEC011,Ferozepur,01:00,174,Partially,131,N/A,0
BDMS0284,2026-09-30,TRD,SEC012,Lucknow,02:00,149,Yes,149,No,1
BDMS0285,2026-09-30,S&T,SEC012,Lucknow,00:00,120,Yes,120,No,1
