train_no,train_type,section_id,division,departure_time,arrival_time,days_pattern,priority
38644,Passenger,SEC009,Moradabad,01:45,03:34,Mon-Sat,Medium
14224,Express,SEC009,Moradabad,20:15,21:33,Mon-Sat,High
25386,Express,SEC009,Moradabad,02:45,05:15,Daily,High
89988,Express,SEC009,Moradabad,23:30,02:00,"Mon,Wed,Fri",High
37082,Passenger,SEC009,Moradabad,19:15,21:35,Daily,Medium
80617,Express,SEC010,Moradabad,11:30,13:26,Daily,High
85069,Express,SEC010,Moradabad,22:30,23:47,Daily,High
63948,Suburban,SEC010,Moradabad,16:00,16:57,Daily,High
27392,Suburban,SEC010,Moradabad,20:15,22:24,Daily,High
98635,Express,SEC010,Moradabad,10:15,12:32,Mon-Sat,High
64293,Passenger,SEC010,Moradabad,18:30,20:30,Mon-Sat,Medium
77582,Passenger,SEC010,Moradabad,20:00,21:31,"Mon,Wed,Fri",Medium
52898,Express,SEC010,Moradabad,11:45,13:27,"Sun,Tue,Thu",High
70089,Express,SEC010,Moradabad,23:00,01:13,"Mon,Wed,Fri",High
80048,Freight,SEC010,Moradabad,11:00,13:21,Mon-Sat,Low
45197,Express,SEC010,Moradabad,13:15,14:58,Daily,High
73614,Freight,SEC010,Moradabad,10:15,12:07,Daily,Low
70238,Freight,SEC011,Ferozepur,01:00,03:00,Daily,Low
10088,Express,SEC011,Ferozepur,05:45,07:23,Mon-Sat,High
49566,Express,SEC011,Ferozepur,22:15,00:18,Daily,High
57242,Freight,SEC011,Ferozepur,08:00,10:03,Daily,Low
61949,Express,SEC011,Ferozepur,21:15,22:01,"Mon,Wed,Fri",High
95915,Express,SEC011,Ferozepur,22:15,23:49,Daily,High
20215,Freight,SEC011,Ferozepur,00:15,01:56,Daily,Low
11056,Passenger,SEC011,Ferozepur,16:45,17:26,"Mon,Wed,Fri",Medium
27324,Express,SEC011,Ferozepur,03:45,05:53,Mon-Sat,High
23425,Express,SEC011,Ferozepur,12:00,14:13,Daily,High
27451,Express,SEC011,Ferozepur,09:15,10:43,"Mon,Wed,Fri",High
95199,Express,SEC012,Lucknow,16:00,17:58,Daily,High
29840,Passenger,SEC012,Lucknow,23:15,01:15,Mon-Sat,Medium
23168,Freight,SEC012,Lucknow,14:15,15:06,Daily,Low
66280,Freight,SEC012,Lucknow,18:45,20:09,Daily,Low
21042,Freight,SEC012,Lucknow,07:30,09:32,Daily,Low
13515,Passenger,SEC012,Lucknow,19:30,21:49,"Mon,Wed,Fri",Medium
61347,Freight,SEC012,Lucknow,06:15,08:30,Daily,Low
24777,Freight,SEC012,Lucknow,07:45,09:14,Daily,Low
11581,Passenger,SEC012,Lucknow,19:00,20:47,Daily,Medium
84498,Suburban,SEC012,Lucknow,04:45,07:15,Mon-Sat,High
71736,Passenger,SEC012,Lucknow,21:15,23:32,Daily,Medium
