date,section_id,division,available_window_start,available_window_minutes,weather,crew_available_engineering,crew_available_st,crew_available_trd,machines_available
2026-09-10,SEC009,Moradabad,02:00,98,Clear,3,4,2,1
2026-09-10,SEC010,Moradabad,01:00,115,Fog,3,2,2,1
2026-09-10,SEC011,Ferozepur,01:00,152,Clear,4,4,5,2
2026-09-10,SEC012,Lucknow,01:00,153,Clear,5,6,3,3
2026-09-11,SEC001,Ambala,00:00,142,Light Rain,6,3,2,2
2026-09-11,SEC002,Ambala,00:00,127,Cloudy,8,5,4,2
2026-09-11,SEC003,Ferozepur,01:00,170,Cloudy,5,5,5,2
2026-09-11,SEC004,Ferozepur,23:00,171,Cloudy,6,6,2,1
2026-09-11,SEC005,Delhi,23:00,96,Light Rain,4,6,3,2
2026-09-11,SEC006,Delhi,02:00,106,Cloudy,3,6,2,3
2026-09-11,SEC007,Lucknow,02:00,155,Cloudy,4,2,4,3
2026-09-11,SEC008,Lucknow,01:00,134,Cloudy,4,4,5,1
2026-09-11,SEC009,Moradabad,01:00,98,Clear,7,6,2,2
2026-09-11,SEC010,Moradabad,00:00,193,Clear,8,3,3,3
2026-09-11,SEC011,Ferozepur,02:00,152,Clear,4,6,3,3
2026-09-11,SEC012,Lucknow,23:00,76,Heavy Rain/Monsoon,1,2,4,1
2026-09-12,SEC001,Ambala,01:00,168,Clear,4,2,3,3
2026-09-12,SEC002,Ambala,01:00,127,Clear,6,2,2,3
2026-09-12,SEC003,Ferozepur,00:00,170,Clear,7,4,4,3
2026-09-12,SEC004,Ferozepur,01:00,171,Clear,6,4,2,3
2026-09-12,SEC005,Delhi,01:00,114,Clear,4,6,5,2
2026-09-12,SEC006,Delhi,00:00,106,Clear,6,6,2,3
2026-09-12,SEC007,Lucknow,00:00,155,Clear,4,2,4,1
2026-09-12,SEC008,Lucknow,00:00,134,Clear,5,6,2,3
2026-09-12,SEC009,Moradabad,02:00,98,Clear,5,2,5,3
2026-09-12,SEC010,Moradabad,00:00,193,Clear,7,3,5,1
2026-09-12,SEC011,Ferozepur,23:00,152,Clear,7,6,3,1
2026-09-12,SEC012,Lucknow,00:00,130,Light Rain,4,2,3,2
2026-09-13,SEC001,Ambala,01:00,168,Clear,6,6,2,3
2026-09-13,SEC002,Ambala,00:00,63,Heavy Rain/Monsoon,2,4,4,2
2026-09-13,SEC003,Ferozepur,00:00,170,Clear,6,6,3,3
2026-09-13,SEC004,Ferozepur,01:00,171,Clear,7,4,3,3
2026-09-13,SEC005,Delhi,02:00,57,Heavy Rain/Monsoon,5,5,1,1
2026-09-13,SEC006,Delhi,02:00,106,Clear,3,2,3,3
2026-09-13,SEC007,Lucknow,23:00,131,Light Rain,7,2,3,2
2026-09-13,SEC008,Lucknow,02:00,113,Light Rain,7,6,2,1
2026-09-13,SEC009,Moradabad,02:00,98,Cloudy,7,6,2,3
2026-09-13,SEC010,Moradabad,02:00,193,Clear,5,2,5,1
2026-09-13,SEC011,Ferozepur,00:00,152,Cloudy,6,4,2,2
2026-09-13,SEC012,Lucknow,02:00,153,Clear,4,2,4,3
2026-09-14,SEC001,Ambala,23:00,168,Clear,3,2,2,3
2026-09-14,SEC002,Ambala,23:00,127,Clear,4,4,5,2
2026-09-14,SEC003,Ferozepur,02:00,170,Clear,8,6,4,2
2026-09-14,SEC004,Ferozepur,02:00,171,Clear,7,4,5,1
2026-09-14,SEC005,Delhi,02:00,114,Clear,7,5,3,2
2026-09-14,SEC006,Delhi,02:00,106,Clear,5,6,4,3
2026-09-14,SEC007,Lucknow,00:00,155,Cloudy,8,2,3,2
2026-09-14,SEC008,Lucknow,23:00,134,Clear,7,5,4,3
2026-09-14,SEC009,Moradabad,02:00,98,Clear,8,2,2,1
2026-09-14,SEC010,Moradabad,00:00,96,Heavy Rain/Monsoon,4,1,1,2
2026-09-14,SEC011,Ferozepur,01:00,152,Clear,7,2,5,2
2026-09-14,SEC012,Lucknow,02:00,153,Cloudy,7,2,3,3
2026-09-15,SEC001,Ambala,23:00,168,Clear,4,6,4,1
2026-09-15,SEC002,Ambala,00:00,127,Cloudy,7,6,3,3
2026-09-15,SEC003,Ferozepur,23:00,170,Cloudy,5,3,2,1
2026-09-15,SEC004,Ferozepur,00:00,102,Fog,4,3,4,2
2026-09-15,SEC005,Delhi,01:00,114,Clear,8,2,2,3
2026-09-15,SEC006,Delhi,01:00,106,Cloudy,7,6,4,2
2026-09-15,SEC007,Lucknow,23:00,155,Clear,4,5,5,3
2026-09-15,SEC008,Lucknow,23:00,134,Clear,6,6,2,3
2026-09-15,SEC009,Moradabad,01:00,98,Clear,5,2,4,3
2026-09-15,SEC010,Moradabad,01:00,193,Cloudy,6,6,5,1
2026-09-15,SEC011,Ferozepur,23:00,91,Fog,4,4,1,2
2026-09-15,SEC012,Lucknow,02:00,153,Clear,6,3,3,2
2026-09-16,SEC001,Ambala,01:00,100,Fog,5,5,1,3
2026-09-16,SEC002,Ambala,00:00,127,Clear,3,5,4,1
2026-09-16,SEC003,Ferozepur,00:00,170,Clear,5,3,4,1
2026-09-16,SEC004,Ferozepur,00:00,171,Clear,4,3,3,2
2026-09-16,SEC005,Delhi,23:00,114,Clear,4,6,4,1
2026-09-16,SEC006,Delhi,23:00,106,Clear,3,5,2,3
2026-09-16,SEC007,Lucknow,01:00,131,Light Rain,5,6,4,2
2026-09-16,SEC008,Lucknow,00:00,134,Clear,7,4,5,1
2026-09-16,SEC009,Moradabad,01:00,98,Clear,6,5,2,3
2026-09-16,SEC010,Moradabad,02:00,193,Clear,8,3,5,1
2026-09-16,SEC011,Ferozepur,23:00,152,Clear,3,2,3,2
2026-09-16,SEC012,Lucknow,01:00,153,Clear,7,4,3,3
2026-09-17,SEC001,Ambala,00:00,168,Clear,6,6,4,2
2026-09-17,SEC002,Ambala,02:00,127,Clear,4,5,4,2
2026-09-17,SEC003,Ferozepur,00:00,170,Clear,4,6,3,3
2026-09-17,SEC004,Ferozepur,02:00,145,Light Rain,8,4,3,3
2026-09-17,SEC005,Delhi,23:00,96,Light Rain,4,3,3,2
2026-09-17,SEC006,Delhi,01:00,106,Clear,6,3,4,2
2026-09-17,SEC007,Lucknow,00:00,155,Clear,7,2,5,1
2026-09-17,SEC008,Lucknow,01:00,134,Clear,5,5,2,2
2026-09-17,SEC009,Moradabad,23:00,98,Clear,5,6,4,2
2026-09-17,SEC010,Moradabad,00:00,193,Clear,5,6,3,3
2026-09-17,SEC011,Ferozepur,02:00,91,Fog,3,3,3,3
2026-09-17,SEC012,Lucknow,01:00,153,Cloudy,6,2,5,3
2026-09-18,SEC001,Ambala,02:00,168,Clear,4,3,4,2
2026-09-18,SEC002,Ambala,00:00,107,Light Rain,3,2,3,2
2026-09-18,SEC003,Ferozepur,02:00,170,Clear,8,4,4,3
2026-09-18,SEC004,Ferozepur,00:00,171,Clear,6,4,5,2
2026-09-18,SEC005,Delhi,01:00,114,Clear,3,3,3,3
2026-09-18,SEC006,Delhi,02:00,53,Heavy Rain/Monsoon,6,1,2,1
2026-09-18,SEC007,Lucknow,02:00,155,Clear,3,5,2,1
2026-09-18,SEC008,Lucknow,00:00,134,Clear,3,2,4,3
2026-09-18,SEC009,Moradabad,01:00,98,Clear,6,4,3,1
2026-09-18,SEC010,Moradabad,23:00,193,Clear,4,3,3,1
2026-09-18,SEC011,Ferozepur,01:00,152,Cloudy,5,5,5,3
2026-09-18,SEC012,Lucknow,02:00,153,Clear,4,6,3,3
2026-09-19,SEC001,Ambala,01:00,168,Clear,8,6,5,3
2026-09-19,SEC002,Ambala,02:00,63,Heavy Rain/Monsoon,4,5,2,1
2026-09-19,SEC003,Ferozepur,23:00,170,Clear,6,4,3,2
2026-09-19,SEC004,Ferozepur,23:00,171,Clear,4,4,4,2
2026-09-19,SEC005,Delhi,02:00,114,Cloudy,6,5,4,1
2026-09-19,SEC006,Delhi,01:00,106,Cloudy,7,3,2,3
2026-09-19,SEC007,Lucknow,00:00,155,Clear,7,5,5,1
2026-09-19,SEC008,Lucknow,01:00,134,Cloudy,8,5,5,1
2026-09-19,SEC009,Moradabad,01:00,98,Clear,8,3,4,2
2026-09-19,SEC010,Moradabad,23:00,193,Clear,3,3,3,2
2026-09-19,SEC011,Ferozepur,02:00,152,Clear,7,5,4,3
2026-09-19,SEC012,Lucknow,23:00,153,Clear,3,3,2,3
2026-09-20,SEC001,Ambala,02:00,168,Clear,3,4,4,1
2026-09-20,SEC002,Ambala,02:00,127,Cloudy,4,2,3,1
2026-09-20,SEC003,Ferozepur,02:00,170,Clear,6,4,5,2
2026-09-20,SEC004,Ferozepur,23:00,171,Cloudy,3,4,2,1
2026-09-20,SEC005,Delhi,00:00,114,Clear,6,2,5,1
2026-09-20,SEC006,Delhi,00:00,90,Light Rain,5,5,2,1
2026-09-20,SEC007,Lucknow,02:00,155,Clear,6,3,2,1
2026-09-20,SEC008,Lucknow,02:00,134,Cloudy,3,6,3,2
2026-09-20,SEC009,Moradabad,23:00,98,Cloudy,5,4,3,3
2026-09-20,SEC010,Moradabad,02:00,193,Cloudy,7,6,2,2
2026-09-20,SEC011,Ferozepur,00:00,152,Clear,4,4,2,3
2026-09-20,SEC012,Lucknow,00:00,91,Fog,2,4,3,1
2026-09-21,SEC001,Ambala,23:00,168,Cloudy,7,2,5,1
2026-09-21,SEC002,Ambala,23:00,76,Fog,5,4,2,2
2026-09-21,SEC003,Ferozepur,23:00,170,Clear,6,2,4,3
2026-09-21,SEC004,Ferozepur,02:00,171,Clear,8,3,2,1
2026-09-21,SEC005,Delhi,00:00,114,Clear,7,4,5,3
2026-09-21,SEC006,Delhi,23:00,106,Clear,6,4,3,2
2026-09-21,SEC007,Lucknow,02:00,155,Clear,6,6,4,3
2026-09-21,SEC008,Lucknow,02:00,134,Clear,4,6,4,2
2026-09-21,SEC009,Moradabad,00:00,98,Clear,7,6,3,1
2026-09-21,SEC010,Moradabad,23:00,193,Clear,5,6,4,2
2026-09-21,SEC011,Ferozepur,01:00,152,Cloudy,7,5,3,1
2026-09-21,SEC012,Lucknow,02:00,153,Cloudy,4,4,2,3
2026-09-22,SEC001,Ambala,01:00,168,Clear,8,5,3,3
2026-09-22,SEC002,Ambala,23:00,127,Clear,8,4,2,1
2026-09-22,SEC003,Ferozepur,23:00,170,Clear,4,3,2,1
2026-09-22,SEC004,Ferozepur,02:00,171,Clear,3,2,5,3
2026-09-22,SEC005,Delhi,01:00,114,Clear,8,6,4,1
2026-09-22,SEC006,Delhi,02:00,106,Clear,8,2,2,1
2026-09-22,SEC007,Lucknow,02:00,77,Heavy Rain/Monsoon,1,4,1,2
2026-09-22,SEC008,Lucknow,23:00,113,Light Rain,8,2,4,3
2026-09-22,SEC009,Moradabad,23:00,98,Cloudy,5,2,3,3
2026-09-22,SEC010,Moradabad,00:00,193,Clear,4,6,5,1
2026-09-22,SEC011,Ferozepur,02:00,152,Clear,4,6,3,3
2026-09-22,SEC012,Lucknow,02:00,153,Cloudy,8,6,4,3
2026-09-23,SEC001,Ambala,02:00,168,Cloudy,6,2,3,1
2026-09-23,SEC002,Ambala,01:00,127,Clear,8,3,5,2
2026-09-23,SEC003,Ferozepur,02:00,170,Clear,5,4,5,3
2026-09-23,SEC004,Ferozepur,00:00,145,Light Rain,5,6,3,3
2026-09-23,SEC005,Delhi,02:00,114,Clear,7,4,4,2
2026-09-23,SEC006,Delhi,23:00,63,Fog,1,1,3,3
2026-09-23,SEC007,Lucknow,00:00,155,Clear,5,2,4,1
2026-09-23,SEC008,Lucknow,23:00,113,Light Rain,3,4,3,1
2026-09-23,SEC009,Moradabad,00:00,98,Clear,4,3,4,2
2026-09-23,SEC010,Moradabad,00:00,193,Clear,5,2,5,3
2026-09-23,SEC011,Ferozepur,02:00,152,Cloudy,8,4,5,1
2026-09-23,SEC012,Lucknow,01:00,130,Light Rain,8,6,2,3
2026-09-24,SEC001,Ambala,01:00,168,Clear,7,5,2,1
2026-09-24,SEC002,Ambala,23:00,127,Clear,6,5,2,1
2026-09-24,SEC003,Ferozepur,23:00,170,Clear,8,5,2,2
2026-09-24,SEC004,Ferozepur,00:00,171,Clear,7,3,4,3
2026-09-24,SEC005,Delhi,23:00,114,Clear,8,5,5,3
2026-09-24,SEC006,Delhi,01:00,106,Clear,5,5,3,1
2026-09-24,SEC007,Lucknow,23:00,155,Clear,7,2,5,2
2026-09-24,SEC008,Lucknow,00:00,134,Clear,6,3,3,2
2026-09-24,SEC009,Moradabad,00:00,98,Clear,8,6,3,3
2026-09-24,SEC010,Moradabad,23:00,193,Clear,5,5,4,3
2026-09-24,SEC011,Ferozepur,00:00,152,Clear,6,5,4,2
2026-09-24,SEC012,Lucknow,01:00,153,Clear,7,2,4,1
2026-09-25,SEC001,Ambala,23:00,168,Clear,6,6,3,2
2026-09-25,SEC002,Ambala,23:00,63,Heavy Rain/Monsoon,2,2,3,1
2026-09-25,SEC003,Ferozepur,23:00,170,Clear,3,3,3,2
2026-09-25,SEC004,Ferozepur,23:00,171,Clear,3,4,5,2
2026-09-25,SEC005,Delhi,01:00,114,Clear,8,6,3,1
2026-09-25,SEC006,Delhi,23:00,106,Clear,7,3,2,2
2026-09-25,SEC007,Lucknow,01:00,155,Clear,3,4,3,3
2026-09-25,SEC008,Lucknow,01:00,134,Clear,8,2,2,2
2026-09-25,SEC009,Moradabad,01:00,98,Cloudy,8,4,2,1
2026-09-25,SEC010,Moradabad,23:00,164,Light Rain,8,5,3,2
2026-09-25,SEC011,Ferozepur,00:00,76,Heavy Rain/Monsoon,4,5,1,1
2026-09-25,SEC012,Lucknow,00:00,153,Clear,6,6,2,1
2026-09-26,SEC001,Ambala,00:00,84,Heavy Rain/Monsoon,3,3,4,2
2026-09-26,SEC002,Ambala,01:00,127,Clear,8,4,4,3
2026-09-26,SEC003,Ferozepur,01:00,170,Clear,7,4,2,3
2026-09-26,SEC004,Ferozepur,00:00,145,Light Rain,3,6,4,1
2026-09-26,SEC005,Delhi,02:00,114,Clear,6,3,2,3
2026-09-26,SEC006,Delhi,00:00,106,Clear,8,6,3,2
2026-09-26,SEC007,Lucknow,00:00,155,Clear,6,4,4,2
2026-09-26,SEC008,Lucknow,01:00,134,Clear,4,6,3,1
2026-09-26,SEC009,Moradabad,00:00,98,Cloudy,7,3,5,1
2026-09-26,SEC010,Moradabad,01:00,193,Clear,7,6,2,1
2026-09-26,SEC011,Ferozepur,02:00,129,Light Rain,4,2,4,2
2026-09-26,SEC012,Lucknow,23:00,153,Clear,8,4,3,1
2026-09-27,SEC001,Ambala,00:00,168,Clear,3,6,4,3
2026-09-27,SEC002,Ambala,02:00,127,Clear,4,2,4,1
2026-09-27,SEC003,Ferozepur,02:00,170,Clear,7,5,4,1
2026-09-27,SEC004,Ferozepur,23:00,171,Clear,4,3,3,1
2026-09-27,SEC005,Delhi,00:00,114,Clear,3,4,5,1
2026-09-27,SEC006,Delhi,02:00,106,Cloudy,3,3,5,3
2026-09-27,SEC007,Lucknow,23:00,155,Cloudy,6,3,5,2
2026-09-27,SEC008,Lucknow,23:00,134,Clear,6,4,5,3
2026-09-27,SEC009,Moradabad,02:00,98,Clear,6,5,2,1
2026-09-27,SEC010,Moradabad,23:00,115,Fog,1,5,4,3
2026-09-27,SEC011,Ferozepur,02:00,152,Clear,6,5,4,2
2026-09-27,SEC012,Lucknow,00:00,153,Clear,5,6,2,3
2026-09-28,SEC001,Ambala,23:00,168,Clear,8,5,2,3
2026-09-28,SEC002,Ambala,02:00,127,Clear,7,6,3,2
2026-09-28,SEC003,Ferozepur,00:00,170,Clear,3,3,5,3
2026-09-28,SEC004,Ferozepur,00:00,145,Light Rain,3,4,4,3
2026-09-28,SEC005,Delhi,02:00,114,Cloudy,3,2,2,3
2026-09-28,SEC006,Delhi,00:00,106,Clear,3,6,5,3
2026-09-28,SEC007,Lucknow,00:00,155,Clear,6,2,3,2
2026-09-28,SEC008,Lucknow,01:00,134,Clear,4,3,2,2
2026-09-28,SEC009,Moradabad,00:00,98,Clear,6,4,3,1
2026-09-28,SEC010,Moradabad,02:00,115,Fog,1,5,3,1
2026-09-28,SEC011,Ferozepur,02:00,152,Clear,6,6,2,3
2026-09-28,SEC012,Lucknow,02:00,153,Clear,7,5,5,2
2026-09-29,SEC001,Ambala,01:00,168,Clear,7,2,3,3
2026-09-29,SEC002,Ambala,00:00,127,Clear,7,3,2,1
2026-09-29,SEC003,Ferozepur,01:00,170,Clear,5,2,3,1
2026-09-29,SEC004,Ferozepur,00:00,171,Clear,3,2,2,2
2026-09-29,SEC005,Delhi,01:00,114,Clear,5,6,3,2
2026-09-29,SEC006,Delhi,02:00,53,Heavy Rain/Monsoon,1,3,3,2
2026-09-29,SEC007,Lucknow,02:00,131,Light Rain,6,6,2,2
2026-09-29,SEC008,Lucknow,02:00,134,Clear,8,4,4,3
2026-09-29,SEC009,Moradabad,23:00,98,Clear,8,3,2,1
2026-09-29,SEC010,Moradabad,01:00,193,Clear,8,6,4,2
2026-09-29,SEC011,Ferozepur,02:00,152,Clear,7,6,4,1
2026-09-29,SEC012,Lucknow,00:00,153,Clear,8,5,5,1
2026-09-30,SEC001,Ambala,02:00,168,Cloudy,4,2,2,1
2026-09-30,SEC002,Ambala,23:00,127,Clear,3,3,5,2
2026-09-30,SEC003,Ferozepur,00:00,170,Clear,7,3,2,3
2026-09-30,SEC004,Ferozepur,01:00,171,Cloudy,5,2,4,2
2026-09-30,SEC005,Delhi,23:00,114,Cloudy,3,4,4,2
2026-09-30,SEC006,Delhi,02:00,90,Light Rain,4,4,4,3
2026-09-30,SEC007,Lucknow,02:00,77,Heavy Rain/Monsoon,1,2,4,1
2026-09-30,SEC008,Lucknow,23:00,113,Light Rain,7,4,5,2
2026-09-30,SEC009,Moradabad,23:00,83,Light Rain,5,6,4,3
2026-09-30,SEC010,Moradabad,00:00,193,Clear,8,4,4,1
2026-09-30,SEC011,Ferozepur,00:00,152,Clear,3,4,5,3
2026-09-30,SEC012,Lucknow,01:00,153,Clear,6,3,2,2
