date,section_id,division,forecast_goods_trains,expected_tonnage
2026-09-06,SEC010,Moradabad,10,33390
2026-09-06,SEC011,Ferozepur,28,106456
2026-09-06,SEC012,Lucknow,23,90160
2026-09-07,SEC001,Ambala,25,62550
2026-09-07,SEC002,Ambala,19,77026
2026-09-07,SEC003,Ferozepur,14,55846
2026-09-07,SEC004,Ferozepur,12,37548
2026-09-07,SEC005,Delhi,40,119480
2026-09-07,SEC006,Delhi,40,134360
2026-09-07,SEC007,Lucknow,20,55820
2026-09-07,SEC008,Lucknow,28,110796
2026-09-07,SEC009,Moradabad,37,110038
2026-09-07,SEC010,Moradabad,13,46332
2026-09-07,SEC011,Ferozepur,14,48132
2026-09-07,SEC012,Lucknow,28,112868
2026-09-08,SEC001,Ambala,20,55460
2026-09-08,SEC002,Ambala,31,117955
2026-09-08,SEC003,Ferozepur,19,69578
2026-09-08,SEC004,Ferozepur,16,42032
2026-09-08,SEC005,Delhi,17,50728
2026-09-08,SEC006,Delhi,42,130074
2026-09-08,SEC007,Lucknow,22,91080
2026-09-08,SEC008,Lucknow,33,109032
2026-09-08,SEC009,Moradabad,33,103983
2026-09-08,SEC010,Moradabad,8,27416
2026-09-08,SEC011,Ferozepur,22,64130
2026-09-08,SEC012,Lucknow,24,66672
2026-09-09,SEC001,Ambala,19,53542
2026-09-09,SEC002,Ambala,22,59752
2026-09-09,SEC003,Ferozepur,20,66640
2026-09-09,SEC004,Ferozepur,21,57687
2026-09-09,SEC005,Delhi,16,46800
2026-09-09,SEC006,Delhi,31,106175
2026-09-09,SEC007,Lucknow,21,57645
2026-09-09,SEC008,Lucknow,32,85920
2026-09-09,SEC009,Moradabad,44,184448
2026-09-09,SEC010,Moradabad,15,59145
2026-09-09,SEC011,Ferozepur,22,69762
2026-09-09,SEC012,Lucknow,21,58863
2026-09-10,SEC001,Ambala,21,67788
2026-09-10,SEC002,Ambala,32,105952
2026-09-10,SEC003,Ferozepur,12,36384
2026-09-10,SEC004,Ferozepur,17,71043
2026-09-10,SEC005,Delhi,35,116480
2026-09-10,SEC006,Delhi,35,119910
2026-09-10,SEC007,Lucknow,17,45781
2026-09-10,SEC008,Lucknow,25,86150
2026-09-10,SEC009,Moradabad,48,131904
2026-09-10,SEC010,Moradabad,15,37860
2026-09-10,SEC011,Ferozepur,30,88650
2026-09-10,SEC012,Lucknow,26,71942
2026-09-11,SEC001,Ambala,20,78100
2026-09-11,SEC002,Ambala,35,132650
2026-09-11,SEC003,Ferozepur,19,70300
2026-09-11,SEC004,Ferozepur,17,51510
2026-09-11,SEC005,Delhi,35,92120
2026-09-11,SEC006,Delhi,34,98736
2026-09-11,SEC007,Lucknow,26,71838
2026-09-11,SEC008,Lucknow,24,64512
2026-09-11,SEC009,Moradabad,49,155771
2026-09-11,SEC010,Moradabad,9,24750
2026-09-11,SEC011,Ferozepur,28,79632
2026-09-11,SEC012,Lucknow,24,88200
2026-09-12,SEC001,Ambala,13,45708
2026-09-12,SEC002,Ambala,33,84480
2026-09-12,SEC003,Ferozepur,15,48360
2026-09-12,SEC004,Ferozepur,20,58780
2026-09-12,SEC005,Delhi,38,129694
2026-09-12,SEC006,Delhi,32,89728
2026-09-12,SEC007,Lucknow,28,84084
2026-09-12,SEC008,Lucknow,29,110925
2026-09-12,SEC009,Moradabad,35,126945
2026-09-12,SEC010,Moradabad,14,48734
2026-09-12,SEC011,Ferozepur,26,72306
2026-09-12,SEC012,Lucknow,24,80592
2026-09-13,SEC001,Ambala,21,75096
2026-09-13,SEC002,Ambala,41,123410
2026-09-13,SEC003,Ferozepur,13,53651
2026-09-13,SEC004,Ferozepur,13,33007
2026-09-13,SEC005,Delhi,45,145575
2026-09-13,SEC006,Delhi,34,118388
2026-09-13,SEC007,Lucknow,17,62186
2026-09-13,SEC008,Lucknow,26,91728
2026-09-13,SEC009,Moradabad,35,89355
2026-09-13,SEC010,Moradabad,14,44142
2026-09-13,SEC011,Ferozepur,22,91520
2026-09-13,SEC012,Lucknow,22,90068
2026-09-14,SEC001,Ambala,17,58922
2026-09-14,SEC002,Ambala,40,143360
2026-09-14,SEC003,Ferozepur,15,44640
2026-09-14,SEC004,Ferozepur,22,62172
2026-09-14,SEC005,Delhi,41,124845
2026-09-14,SEC006,Delhi,41,147272
2026-09-14,SEC007,Lucknow,26,67964
2026-09-14,SEC008,Lucknow,16,65024
2026-09-14,SEC009,Moradabad,43,177719
2026-09-14,SEC010,Moradabad,12,39540
2026-09-14,SEC011,Ferozepur,17,48535
2026-09-14,SEC012,Lucknow,29,82940
2026-09-15,SEC001,Ambala,19,76209
2026-09-15,SEC002,Ambala,35,137480
2026-09-15,SEC003,Ferozepur,15,59100
2026-09-15,SEC004,Ferozepur,22,86548
2026-09-15,SEC005,Delhi,28,78148
2026-09-15,SEC006,Delhi,42,153426
2026-09-15,SEC007,Lucknow,30,124770
2026-09-15,SEC008,Lucknow,24,84192
2026-09-15,SEC009,Moradabad,33,85041
2026-09-15,SEC010,Moradabad,12,32208
2026-09-15,SEC011,Ferozepur,29,73660
2026-09-15,SEC012,Lucknow,25,89450
2026-09-16,SEC001,Ambala,15,56355
2026-09-16,SEC002,Ambala,30,87360
2026-09-16,SEC003,Ferozepur,19,54397
2026-09-16,SEC004,Ferozepur,15,62145
2026-09-16,SEC005,Delhi,36,91584
2026-09-16,SEC006,Delhi,30,84060
2026-09-16,SEC007,Lucknow,13,53105
2026-09-16,SEC008,Lucknow,21,57267
2026-09-16,SEC009,Moradabad,46,121808
2026-09-16,SEC010,Moradabad,8,26120
2026-09-16,SEC011,Ferozepur,21,77700
2026-09-16,SEC012,Lucknow,16,43296
2026-09-17,SEC001,Ambala,17,47974
2026-09-17,SEC002,Ambala,34,135966
2026-09-17,SEC003,Ferozepur,24,83928
2026-09-17,SEC004,Ferozepur,16,61264
2026-09-17,SEC005,Delhi,29,105850
2026-09-17,SEC006,Delhi,45,176400
2026-09-17,SEC007,Lucknow,27,87210
2026-09-17,SEC008,Lucknow,23,68011
2026-09-17,SEC009,Moradabad,30,98220
2026-09-17,SEC010,Moradabad,8,25024
2026-09-17,SEC011,Ferozepur,22,62986
2026-09-17,SEC012,Lucknow,19,75848
2026-09-18,SEC001,Ambala,24,88152
2026-09-18,SEC002,Ambala,30,99030
2026-09-18,SEC003,Ferozepur,22,80564
2026-09-18,SEC004,Ferozepur,13,33358
2026-09-18,SEC005,Delhi,35,145460
2026-09-18,SEC006,Delhi,41,153832
2026-09-18,SEC007,Lucknow,23,80868
2026-09-18,SEC008,Lucknow,35,97580
2026-09-18,SEC009,Moradabad,36,115560
2026-09-18,SEC010,Moradabad,13,41002
2026-09-18,SEC011,Ferozepur,28,75068
2026-09-18,SEC012,Lucknow,31,129642
2026-09-19,SEC001,Ambala,17,54179
2026-09-19,SEC002,Ambala,21,71694
2026-09-19,SEC003,Ferozepur,21,82299
2026-09-19,SEC004,Ferozepur,18,47484
2026-09-19,SEC005,Delhi,26,103350
2026-09-19,SEC006,Delhi,45,112590
2026-09-19,SEC007,Lucknow,27,90693
2026-09-19,SEC008,Lucknow,30,85200
2026-09-19,SEC009,Moradabad,44,144100
2026-09-19,SEC010,Moradabad,10,32190
2026-09-19,SEC011,Ferozepur,21,73101
2026-09-19,SEC012,Lucknow,22,90530
2026-09-20,SEC001,Ambala,22,85954
2026-09-20,SEC002,Ambala,23,68103
2026-09-20,SEC003,Ferozepur,19,48792
2026-09-20,SEC004,Ferozepur,19,58957
2026-09-20,SEC005,Delhi,38,103132
2026-09-20,SEC006,Delhi,36,95436
2026-09-20,SEC007,Lucknow,17,48093
2026-09-20,SEC008,Lucknow,38,151962
2026-09-20,SEC009,Moradabad,53,142570
2026-09-20,SEC010,Moradabad,15,47880
2026-09-20,SEC011,Ferozepur,17,59296
2026-09-20,SEC012,Lucknow,19,74898
2026-09-21,SEC001,Ambala,27,76599
2026-09-21,SEC002,Ambala,32,119776
2026-09-21,SEC003,Ferozepur,20,54140
2026-09-21,SEC004,Ferozepur,16,50848
2026-09-21,SEC005,Delhi,34,133518
2026-09-21,SEC006,Delhi,39,141726
2026-09-21,SEC007,Lucknow,21,63903
2026-09-21,SEC008,Lucknow,19,73188
2026-09-21,SEC009,Moradabad,36,93636
2026-09-21,SEC010,Moradabad,14,46256
2026-09-21,SEC011,Ferozepur,15,42210
2026-09-21,SEC012,Lucknow,19,49609
2026-09-22,SEC001,Ambala,16,49648
2026-09-22,SEC002,Ambala,34,142358
2026-09-22,SEC003,Ferozepur,15,43620
2026-09-22,SEC004,Ferozepur,14,37772
2026-09-22,SEC005,Delhi,37,114589
2026-09-22,SEC006,Delhi,36,96012
2026-09-22,SEC007,Lucknow,20,82140
2026-09-22,SEC008,Lucknow,28,92792
2026-09-22,SEC009,Moradabad,21,63882
2026-09-22,SEC010,Moradabad,13,34918
2026-09-22,SEC011,Ferozepur,20,65180
2026-09-22,SEC012,Lucknow,19,62339
2026-09-23,SEC001,Ambala,16,48624
2026-09-23,SEC002,Ambala,34,115600
2026-09-23,SEC003,Ferozepur,15,45750
2026-09-23,SEC004,Ferozepur,18,65790
2026-09-23,SEC005,Delhi,43,166238
2026-09-23,SEC006,Delhi,39,105222
2026-09-23,SEC007,Lucknow,26,93808
2026-09-23,SEC008,Lucknow,30,100410
2026-09-23,SEC009,Moradabad,47,170751
2026-09-23,SEC010,Moradabad,11,28864
2026-09-23,SEC011,Ferozepur,27,90639
2026-09-23,SEC012,Lucknow,15,53940
2026-09-24,SEC001,Ambala,15,55080
2026-09-24,SEC002,Ambala,17,50694
2026-09-24,SEC003,Ferozepur,17,67354
2026-09-24,SEC004,Ferozepur,18,46278
2026-09-24,SEC005,Delhi,19,78641
2026-09-24,SEC006,Delhi,35,128450
2026-09-24,SEC007,Lucknow,19,52174
2026-09-24,SEC008,Lucknow,21,85050
2026-09-24,SEC009,Moradabad,20,56840
2026-09-24,SEC010,Moradabad,14,41062
2026-09-24,SEC011,Ferozepur,24,80808
2026-09-24,SEC012,Lucknow,20,53200
2026-09-25,SEC001,Ambala,23,96232
2026-09-25,SEC002,Ambala,29,109736
2026-09-25,SEC003,Ferozepur,21,66234
2026-09-25,SEC004,Ferozepur,22,87758
2026-09-25,SEC005,Delhi,35,115290
2026-09-25,SEC006,Delhi,34,123726
2026-09-25,SEC007,Lucknow,19,58235
2026-09-25,SEC008,Lucknow,31,110484
2026-09-25,SEC009,Moradabad,22,90420
2026-09-25,SEC010,Moradabad,13,51142
2026-09-25,SEC011,Ferozepur,19,63821
2026-09-25,SEC012,Lucknow,19,51870
2026-09-26,SEC001,Ambala,17,62968
2026-09-26,SEC002,Ambala,31,114483
2026-09-26,SEC003,Ferozepur,18,48888
2026-09-26,SEC004,Ferozepur,9,32868
2026-09-26,SEC005,Delhi,35,125860
2026-09-26,SEC006,Delhi,23,73692
2026-09-26,SEC007,Lucknow,25,96025
2026-09-26,SEC008,Lucknow,25,87350
2026-09-26,SEC009,Moradabad,30,85560
2026-09-26,SEC010,Moradabad,11,33704
2026-09-26,SEC011,Ferozepur,17,66198
2026-09-26,SEC012,Lucknow,26,101920
2026-09-27,SEC001,Ambala,15,47670
2026-09-27,SEC002,Ambala,33,129162
2026-09-27,SEC003,Ferozepur,18,54900
2026-09-27,SEC004,Ferozepur,24,78288
2026-09-27,SEC005,Delhi,45,140400
2026-09-27,SEC006,Delhi,37,116032
2026-09-27,SEC007,Lucknow,21,82425
2026-09-27,SEC008,Lucknow,34,132668
2026-09-27,SEC009,Moradabad,50,138750
2026-09-27,SEC010,Moradabad,15,46725
2026-09-27,SEC011,Ferozepur,28,117348
2026-09-27,SEC012,Lucknow,22,69454
2026-09-28,SEC001,Ambala,18,68796
2026-09-28,SEC002,Ambala,36,96552
2026-09-28,SEC003,Ferozepur,19,79553
2026-09-28,SEC004,Ferozepur,20,66660
2026-09-28,SEC005,Delhi,32,104480
2026-09-28,SEC006,Delhi,23,96163
2026-09-28,SEC007,Lucknow,29,76386
2026-09-28,SEC008,Lucknow,31,97247
2026-09-28,SEC009,Moradabad,35,143430
2026-09-28,SEC010,Moradabad,10,35730
2026-09-28,SEC011,Ferozepur,24,69456
2026-09-28,SEC012,Lucknow,22,64042
2026-09-29,SEC001,Ambala,20,68680
2026-09-29,SEC002,Ambala,26,67678
2026-09-29,SEC003,Ferozepur,23,70403
2026-09-29,SEC004,Ferozepur,15,48810
2026-09-29,SEC005,Delhi,37,140637
2026-09-29,SEC006,Delhi,27,74331
2026-09-29,SEC007,Lucknow,21,73521
2026-09-29,SEC008,Lucknow,24,89184
2026-09-29,SEC009,Moradabad,19,65949
2026-09-29,SEC010,Moradabad,14,51814
2026-09-29,SEC011,Ferozepur,19,57551
2026-09-29,SEC012,Lucknow,21,84693
2026-09-30,SEC001,Ambala,19,48564
2026-09-30,SEC002,Ambala,27,88857
2026-09-30,SEC003,Ferozepur,25,102425
2026-09-30,SEC004,Ferozepur,20,58760
2026-09-30,SEC005,Delhi,39,151593
2026-09-30,SEC006,Delhi,27,78921
2026-09-30,SEC007,Lucknow,21,53361
2026-09-30,SEC008,Lucknow,34,139332
2026-09-30,SEC009,Moradabad,48,166560
2026-09-30,SEC010,Moradabad,11,30470
2026-09-30,SEC011,Ferozepur,19,47823
2026-09-30,SEC012,Lucknow,18,53244
