asset_id,section_id,reading_date,condition_score,trend_flag
AST0051,SEC006,2026-09-17,89,Stable
AST0051,SEC006,2026-09-25,88,Stable
AST0051,SEC006,2026-09-30,87,Stable
AST0052,SEC006,2026-09-01,89,Stable
AST0052,SEC006,2026-09-09,88,Stable
AST0052,SEC006,2026-09-17,89,Stable
AST0052,SEC006,2026-09-25,87,Stable
AST0052,SEC006,2026-09-30,87,Stable
AST0053,SEC007,2026-09-01,86,Stable
AST0053,SEC007,2026-09-09,87,Stable
AST0053,SEC007,2026-09-17,86,Stable
AST0053,SEC007,2026-09-25,87,Stable
AST0053,SEC007,2026-09-30,85,Stable
AST0054,SEC007,2026-09-01,76,Stable
AST0054,SEC007,2026-09-09,78,Stable
AST0054,SEC007,2026-09-17,78,Stable
AST0054,SEC007,2026-09-25,76,Stable
AST0054,SEC007,2026-09-30,77,Stable
AST0055,SEC007,2026-09-01,75,Stable
AST0055,SEC007,2026-09-09,76,Stable
AST0055,SEC007,2026-09-17,74,Stable
AST0055,SEC007,2026-09-25,73,Stable
AST0055,SEC007,2026-09-30,74,Stable
AST0056,SEC007,2026-09-01,85,Degrading
AST0056,SEC007,2026-09-09,81,Degrading
AST0056,SEC007,2026-09-17,74,Degrading
AST0056,SEC007,2026-09-25,68,Degrading
AST0056,SEC007,2026-09-30,62,Degrading
AST0057,SEC007,2026-09-01,90,Stable
AST0057,SEC007,2026-09-09,88,Stable
AST0057,SEC007,2026-09-17,88,Stable
AST0057,SEC007,2026-09-25,90,Stable
AST0057,SEC007,2026-09-30,91,Stable
AST0058,SEC007,2026-09-01,71,Degrading
AST0058,SEC007,2026-09-09,62,Degrading
AST0058,SEC007,2026-09-17,55,Degrading
AST0058,SEC007,2026-09-25,47,Degrading
AST0058,SEC007,2026-09-30,43,Degrading
AST0059,SEC007,2026-09-01,87,Stable
AST0059,SEC007,2026-09-09,86,Stable
AST0059,SEC007,2026-09-17,86,Stable
AST0059,SEC007,2026-09-25,85,Stable
AST0059,SEC007,2026-09-30,83,Stable
AST0060,SEC008,2026-09-01,79,Degrading
AST0060,SEC008,2026-09-09,70,Degrading
AST0060,SEC008,2026-09-17,61,Degrading
AST0060,SEC008,2026-09-25,57,Degrading
AST0060,SEC008,2026-09-30,50,Degrading
AST0061,SEC008,2026-09-01,75,Stable
AST0061,SEC008,2026-09-09,73,Stable
AST0061,SEC008,2026-09-17,71,Stable
AST0061,SEC008,2026-09-25,71,Stable
AST0061,SEC008,2026-09-30,69,Stable
AST0062,SEC008,2026-09-01,79,Stable
AST0062,SEC008,2026-09-09,79,Stable
AST0062,SEC008,2026-09-17,80,Stable
AST0062,SEC008,2026-09-25,79,Stable
AST0062,SEC008,2026-09-30,78,Stable
AST0063,SEC008,2026-09-01,79,Degrading
AST0063,SEC008,2026-09-09,71,Degrading
AST0063,SEC008,2026-09-17,62,Degrading
AST0063,SEC008,2026-09-25,57,Degrading
AST0063,SEC008,2026-09-30,52,Degrading
AST0064,SEC008,2026-09-01,71,Degrading
AST0064,SEC008,2026-09-09,63,Degrading
AST0064,SEC008,2026-09-17,56,Degrading
AST0064,SEC008,2026-09-25,48,Degrading
AST0064,SEC008,2026-09-30,39,Degrading
AST0065,SEC008,2026-09-01,78,Stable
AST0065,SEC008,2026-09-09,80,Stable
AST0065,SEC008,2026-09-17,79,Stable
AST0065,SEC008,2026-09-25,78,Stable
AST0065,SEC008,2026-09-30,79,Stable
AST0066,SEC008,2026-09-01,90,Stable
AST0066,SEC008,2026-09-09,91,Stable
AST0066,SEC008,2026-09-17,91,Stable
AST0066,SEC008,2026-09-25,89,Stable
AST0066,SEC008,2026-09-30,90,Stable
AST0067,SEC009,2026-09-01,81,Stable
AST0067,SEC009,2026-09-09,80,Stable
AST0067,SEC009,2026-09-17,78,Stable
AST0067,SEC009,2026-09-25,79,Stable
AST0067,SEC009,2026-09-30,79,Stable
AST0068,SEC009,2026-09-01,88,Stable
AST0068,SEC009,2026-09-09,89,Stable
AST0068,SEC009,2026-09-17,89,Stable
AST0068,SEC009,2026-09-25,90,Stable
AST0068,SEC009,2026-09-30,90,Stable
AST0069,SEC009,2026-09-01,77,Stable
AST0069,SEC009,2026-09-09,78,Stable
AST0069,SEC009,2026-09-17,76,Stable
AST0069,SEC009,2026-09-25,75,Stable
AST0069,SEC009,2026-09-30,76,Stable
AST0070,SEC009,2026-09-01,88,Stable
AST0070,SEC009,2026-09-09,90,Stable
AST0070,SEC009,2026-09-17,90,Stable
AST0070,SEC009,2026-09-25,90,Stable
AST0070,SEC009,2026-09-30,88,Stable
AST0071,SEC009,2026-09-01,92,Stable
AST0071,SEC009,2026-09-09,92,Stable
AST0071,SEC009,2026-09-17,90,Stable
AST0071,SEC009,2026-09-25,92,Stable
AST0071,SEC009,2026-09-30,90,Stable
AST0072,SEC009,2026-09-01,90,Stable
AST0072,SEC009,2026-09-09,90,Stable
AST0072,SEC009,2026-09-17,89,Stable
AST0072,SEC009,2026-09-25,91,Stable
AST0072,SEC009,2026-09-30,91,Stable
AST0073,SEC009,2026-09-01,68,Degrading
AST0073,SEC009,2026-09-09,63,Degrading
AST0073,SEC009,2026-09-17,55,Degrading
AST0073,SEC009,2026-09-25,49,Degrading
AST0073,SEC009,2026-09-30,40,Degrading
AST0074,SEC009,2026-09-01,90,Stable
AST0074,SEC009,2026-09-09,88,Stable
AST0074,SEC009,2026-09-17,86,Stable
AST0074,SEC009,2026-09-25,86,Stable
AST0074,SEC009,2026-09-30,87,Stable
AST0075,SEC009,2026-09-01,73,Stable
AST0075,SEC009,2026-09-09,73,Stable
AST0075,SEC009,2026-09-17,72,Stable
AST0075,SEC009,2026-09-25,70,Stable
AST0075,SEC009,2026-09-30,70,Stable
AST0076,SEC010,2026-09-01,71,Degrading
AST0076,SEC010,2026-09-09,64,Degrading
AST0076,SEC010,2026-09-17,59,Degrading
AST0076,SEC010,2026-09-25,54,Degrading
AST0076,SEC010,2026-09-30,49,Degrading
AST0077,SEC010,2026-09-01,87,Stable
AST0077,SEC010,2026-09-09,89,Stable
AST0077,SEC010,2026-09-17,91,Stable
AST0077,SEC010,2026-09-25,91,Stable
AST0077,SEC010,2026-09-30,90,Stable
AST0078,SEC010,2026-09-01,79,Stable
AST0078,SEC010,2026-09-09,79,Stable
AST0078,SEC010,2026-09-17,79,Stable
AST0078,SEC010,2026-09-25,77,Stable
AST0078,SEC010,2026-09-30,78,Stable
AST0079,SEC010,2026-09-01,67,Degrading
AST0079,SEC010,2026-09-09,62,Degrading
AST0079,SEC010,2026-09-17,53,Degrading
AST0079,SEC010,2026-09-25,44,Degrading
AST0079,SEC010,2026-09-30,35,Degrading
AST0080,SEC010,2026-09-01,84,Stable
AST0080,SEC010,2026-09-09,84,Stable
AST0080,SEC010,2026-09-17,82,Stable
AST0080,SEC010,2026-09-25,83,Stable
AST0080,SEC010,2026-09-30,81,Stable
AST0081,SEC010,2026-09-01,80,Stable
AST0081,SEC010,2026-09-09,78,Stable
AST0081,SEC010,2026-09-17,79,Stable
AST0081,SEC010,2026-09-25,79,Stable
AST0081,SEC010,2026-09-30,79,Stable
AST0082,SEC010,2026-09-01,89,Stable
AST0082,SEC010,2026-09-09,89,Stable
AST0082,SEC010,2026-09-17,87,Stable
AST0082,SEC010,2026-09-25,86,Stable
AST0082,SEC010,2026-09-30,87,Stable
AST0083,SEC010,2026-09-01,72,Stable
AST0083,SEC010,2026-09-09,74,Stable
AST0083,SEC010,2026-09-17,74,Stable
AST0083,SEC010,2026-09-25,76,Stable
AST0083,SEC010,2026-09-30,75,Stable
AST0084,SEC011,2026-09-01,86,Degrading
AST0084,SEC011,2026-09-09,77,Degrading
AST0084,SEC011,2026-09-17,70,Degrading
AST0084,SEC011,2026-09-25,61,Degrading
AST0084,SEC011,2026-09-30,55,Degrading
AST0085,SEC011,2026-09-01,91,Stable
AST0085,SEC011,2026-09-09,89,Stable
AST0085,SEC011,2026-09-17,88,Stable
AST0085,SEC011,2026-09-25,86,Stable
AST0085,SEC011,2026-09-30,84,Stable
AST0086,SEC011,2026-09-01,80,Stable
AST0086,SEC011,2026-09-09,78,Stable
AST0086,SEC011,2026-09-17,76,Stable
AST0086,SEC011,2026-09-25,75,Stable
AST0086,SEC011,2026-09-30,77,Stable
AST0087,SEC011,2026-09-01,75,Stable
AST0087,SEC011,2026-09-09,76,Stable
AST0087,SEC011,2026-09-17,76,Stable
AST0087,SEC011,2026-09-25,78,Stable
AST0087,SEC011,2026-09-30,79,Stable
AST0088,SEC011,2026-09-01,87,Stable
AST0088,SEC011,2026-09-09,88,Stable
AST0088,SEC011,2026-09-17,86,Stable
AST0088,SEC011,2026-09-25,87,Stable
AST0088,SEC011,2026-09-30,89,Stable
AST0089,SEC011,2026-09-01,83,Stable
AST0089,SEC011,2026-09-09,81,Stable
AST0089,SEC011,2026-09-17,81,Stable
AST0089,SEC011,2026-09-25,80,Stable
AST0089,SEC011,2026-09-30,81,Stable
AST0090,SEC011,2026-09-01,83,Stable
AST0090,SEC011,2026-09-09,83,Stable
AST0090,SEC011,2026-09-17,81,Stable
AST0090,SEC011,2026-09-25,81,Stable
AST0090,SEC011,2026-09-30,83,Stable
AST0091,SEC011,2026-09-01,90,Stable
AST0091,SEC011,2026-09-09,88,Stable
AST0091,SEC011,2026-09-17,89,Stable
AST0091,SEC011,2026-09-25,89,Stable
AST0091,SEC011,2026-09-30,88,Stable
AST0092,SEC011,2026-09-01,74,Stable
AST0092,SEC011,2026-09-09,72,Stable
AST0092,SEC011,2026-09-17,71,Stable
AST0092,SEC011,2026-09-25,73,Stable
AST0092,SEC011,2026-09-30,71,Stable
AST0093,SEC012,2026-09-01,65,Degrading
AST0093,SEC012,2026-09-09,60,Degrading
AST0093,SEC012,2026-09-17,55,Degrading
AST0093,SEC012,2026-09-25,47,Degrading
AST0093,SEC012,2026-09-30,42,Degrading
AST0094,SEC012,2026-09-01,64,Degrading
AST0094,SEC012,2026-09-09,59,Degrading
AST0094,SEC012,2026-09-17,51,Degrading
AST0094,SEC012,2026-09-25,46,Degrading
AST0094,SEC012,2026-09-30,41,Degrading
AST0095,SEC012,2026-09-01,79,Stable
AST0095,SEC012,2026-09-09,81,Stable
AST0095,SEC012,2026-09-17,79,Stable
AST0095,SEC012,2026-09-25,79,Stable
AST0095,SEC012,2026-09-30,78,Stable
AST0096,SEC012,2026-09-01,76,Stable
AST0096,SEC012,2026-09-09,76,Stable
AST0096,SEC012,2026-09-17,75,Stable
AST0096,SEC012,2026-09-25,73,Stable
AST0096,SEC012,2026-09-30,71,Stable
AST0097,SEC012,2026-09-01,70,Degrading
AST0097,SEC012,2026-09-09,64,Degrading
AST0097,SEC012,2026-09-17,59,Degrading
AST0097,SEC012,2026-09-25,51,Degrading
AST0097,SEC012,2026-09-30,45,Degrading
AST0098,SEC012,2026-09-01,69,Stable
AST0098,SEC012,2026-09-09,69,Stable
AST0098,SEC012,2026-09-17,67,Stable
AST0098,SEC012,2026-09-25,66,Stable
AST0098,SEC012,2026-09-30,67,Stable
